requester_id	followers	pay	comm	fast	fair	reviews	tos_flags
A33E9MIO5CB1XT	1	2.63	3.0	4.33	4.33	10	0
AWHSHU97O95MI	1	4.0	3.0	3.0	4.5	2	0
A3SYTQK5A65APY	1	3.0	4.0	4.5	5.0	2	0
A1LQQ6QUMNIYBE	1	1.0	1.0	1.0	1.0	3	3
A3HXF06LDBX034	1	5.0	0.0	5.0	5.0	1	0
A15U0DLEF3ZE5P	1	0.0	0.0	0.0	0.0	2	0
A33MLBEJ1YIV2M	1	3.75	1.0	2.7	3.5	10	0
A1DFZWT5JJ15AH	1	4.0	0.0	5.0	5.0	1	0
A3OG5OSPPAD7W3	1	5.0	0.0	5.0	5.0	1	0
A26VKE28GEOD8E	1	5.0	0.0	0.0	0.0	2	0
A1PYYSZU0FQ0P5	1	2.0	3.0	3.33	3.67	13	0
A3JXS3D2O9XPOT	1	4.0	0.0	5.0	5.0	5	0
A2BE7ATTCNARTO	1	3.22	5.0	4.57	5.0	9	0
A3NYBW5EWT3JXW	1	1.0	1.0	2.33	1.0	4	0
ANAZZX08RXXQ4	1	3.8	0.0	5.0	5.0	5	0
A31D66C2IEGD24	1	4.0	5.0	4.14	4.14	18	0
A37G1LX8K5V7UO	1	0.0	0.0	0.0	0.0	1	1
AGXKW1XQ4K2H	1	1.67	0.0	5.0	5.0	3	0
A1DZRSV5DHDECC	1	3.38	3.0	4.06	3.62	25	0
A1HHRQ1PFAGG68	1	4.5	0.0	5.0	5.0	2	0
AFLTRGJQ6ZY1E	1	1.39	1.4	2.09	2.0	33	0
A1FKC6Y7O72ONA	1	3.0	2.0	4.43	4.43	9	0
A6N3805QL95KI	1	3.74	3.81	4.14	3.61	26	0
A1XGWBX7YYEQUI	1	1.94	4.29	4.5	4.5	16	0
A13W81Q0DPAVVB	1	4.0	4.0	5.0	3.5	2	0
A216T5VONYKF0S	1	3.25	4.0	4.33	3.86	9	0
A7I25A7C02V0W	1	2.14	0.0	4.67	5.0	7	0
A3F3T80KYE1J7O	1	3.04	5.0	4.86	5.0	27	0
A1ZULFJVBS8H1I	1	3.75	5.0	4.8	5.0	5	0
A2YS98USM9LMRC	1	4.08	2.6	3.92	4.08	13	0
A7W013PM199BS	1	2.57	2.19	2.83	2.22	26	1
A2AKCZ9MNLV1O9	1	4.67	1.0	3.67	3.67	3	0
A44X6BF6PP12B	1	2.54	2.17	2.78	1.68	42	0
A12QAKKMXXLOIK	1	3.25	0.0	3.25	3.67	4	0
A1DTM0JCRXYDZ	1	4.0	3.0	5.0	5.0	9	0
AW8LX7H3UHWRM	1	4.26	4.0	4.5	4.67	29	1
ADQ8KPNLS4TFY	1	3.79	5.0	5.0	5.0	15	0
AJXQ2GILWLEGD	1	3.71	5.0	4.33	5.0	8	0
AZ133PDNQQ6AR	1	2.75	2.0	3.33	3.67	4	0
AFIUI62ZVMDFA	1	3.0	3.8	4.66	4.59	52	1
A27MITQOTS1AQW	1	4.6	4.2	4.33	4.79	21	1
A1RVDVALREIUUQ	1	2.0	0.0	3.0	3.0	1	0
A68DEEK7OV1OC	1	5.0	0.0	5.0	5.0	3	0
A2IO2MM262K6ZZ	1	2.6	2.33	3.0	3.0	6	0
A990SKM7AVWQR	1	4.63	3.67	4.83	4.63	22	1
ADGHS9MOR2MHM	1	4.0	4.2	4.25	4.67	16	0
A15X15L8HB3PO6	1	3.0	1.0	3.25	3.29	15	0
ASPR7E8JC3NYI	1	4.68	4.52	4.72	4.76	54	0
A303CBLKB7HBZO	1	3.5	5.0	5.0	5.0	4	0
A149ACRYLEE5PP	1	5.0	0.0	5.0	5.0	4	0
A2R3II7IBIUCHS	1	3.86	0.0	5.0	5.0	7	0
A1WV8GSFWKT2K6	1	3.47	3.0	3.13	3.4	21	0
A10OM0I1IXBPFE	1	5.0	0.0	5.0	5.0	1	0
A2S7AIIXXY3CT	1	3.84	4.23	4.46	4.4	52	1
A2J2MF4KEF2DKM	1	3.0	2.91	3.6	3.47	17	0
A126YSV6T33C3T	1	2.43	3.22	3.87	4.0	26	3
A2UVRP50C9TMK3	1	2.08	2.33	3.32	3.38	43	0
A3ORVIDMDER6WF	1	3.75	1.0	5.0	5.0	13	0
A2F18O1OBNOITF	1	2.0	5.0	4.5	5.0	5	0
A2YQ70G2WN5RKI	1	3.26	2.33	3.72	3.62	35	1
A3HQAV7DY66IF2	1	4.19	4.0	4.19	3.85	28	0
APJUBFI9CCT9K	1	1.0	0.0	0.0	0.0	1	0
A32JNFFMKA8LN8	1	2.89	1.5	3.89	3.89	9	0
AWXG3T7W04FVG	1	2.71	2.33	3.0	3.17	9	0
A18KRGGSRB8FRE	1	5.0	0.0	5.0	5.0	1	0
A1B3VG4UTYL3TG	1	3.13	4.38	4.92	4.84	40	0
A27RDRMZV5JBTW	1	1.0	1.0	1.0	1.0	6	0
A2N8CABDFRA47F	1	5.0	5.0	5.0	5.0	12	0
A3HLX5VXNHVITM	1	3.61	3.0	4.0	3.75	18	0
AQHXS4YXFCTFM	1	4.28	3.5	4.23	4.29	54	1
A1DGSB2GKASN7Q	1	3.98	4.08	4.34	4.29	52	0
A37L47Q4PMMWY3	1	4.68	4.22	4.77	4.71	156	1
A1F09BVT3QHSHH	1	3.0	2.0	2.83	2.83	6	0
A4NYR93GJX1OK	1	5.0	0.0	5.0	5.0	2	0
A3AZIIU9Q53B2M	1	3.25	2.83	3.38	4.8	9	0
